timestamp_utc,open,high,low,close,volume,source,symbol
2026-09-23T03:45:00Z,23352.150390625,23404.25,23352.150390625,23355.25,0.0,yahoo,^NSEI
2026-09-23T03:46:00Z,23354.80078125,23374.849609375,23354.80078125,23371.650390625,0.0,yahoo,^NSEI
2026-09-23T03:47:00Z,23372.400390625,23392.650390625,23372.400390625,23390.650390625,0.0,yahoo,^NSEI
2026-09-23T03:48:00Z,23391.44921875,23404.80078125,23390.75,23392.30078125,0.0,yahoo,^NSEI
2026-09-23T03:49:00Z,23391.94921875,23409.44921875,23391.19921875,23406.349609375,0.0,yahoo,^NSEI
2026-09-23T03:50:00Z,23406.349609375,23413.099609375,23405.75,23407.25,0.0,yahoo,^NSEI
2026-09-23T03:51:00Z,23407.25,23413.900390625,23407.25,23409.25,0.0,yahoo,^NSEI
2026-09-23T03:52:00Z,23409.099609375,23412.650390625,23400.19921875,23401.94921875,0.0,yahoo,^NSEI
2026-09-23T03:53:00Z,23402.05078125,23404.44921875,23394.55078125,23396.19921875,0.0,yahoo,^NSEI
2026-09-23T03:54:00Z,23396.349609375,23396.900390625,23389.19921875,23389.849609375,0.0,yahoo,^NSEI
2026-09-23T03:55:00Z,23390.25,23392.349609375,23376.30078125,23381.25,0.0,yahoo,^NSEI
2026-09-23T03:56:00Z,23380.900390625,23384.5,23375.75,23376.44921875,0.0,yahoo,^NSEI
2026-09-23T03:57:00Z,23375.900390625,23379.849609375,23373.650390625,23374.44921875,0.0,yahoo,^NSEI
2026-09-23T03:58:00Z,23374.75,23378.650390625,23367.69921875,23369.150390625,0.0,yahoo,^NSEI
2026-09-23T03:59:00Z,23369.5,23374.75,23366.25,23367.75,0.0,yahoo,^NSEI
2026-09-23T04:00:00Z,23367.849609375,23373.44921875,23367.849609375,23372.55078125,0.0,yahoo,^NSEI
2026-09-23T04:01:00Z,23372.44921875,23373.650390625,23363.849609375,23364.44921875,0.0,yahoo,^NSEI
2026-09-23T04:02:00Z,23364.599609375,23369.05078125,23364.400390625,23366.19921875,0.0,yahoo,^NSEI
2026-09-23T04:03:00Z,23366.30078125,23369.900390625,23364.94921875,23367.400390625,0.0,yahoo,^NSEI
2026-09-23T04:04:00Z,23367.30078125,23373.400390625,23366.349609375,23373.400390625,0.0,yahoo,^NSEI
2026-09-23T04:05:00Z,23373.5,23380.0,23367.55078125,23370.05078125,0.0,yahoo,^NSEI
2026-09-23T04:06:00Z,23370.05078125,23375.650390625,23362.69921875,23369.0,0.0,yahoo,^NSEI
2026-09-23T04:07:00Z,23369.150390625,23374.55078125,23369.150390625,23374.5,0.0,yahoo,^NSEI
2026-09-23T04:08:00Z,23374.5,23376.75,23373.599609375,23373.80078125,0.0,yahoo,^NSEI
2026-09-23T04:09:00Z,23374.150390625,23377.80078125,23367.599609375,23369.650390625,0.0,yahoo,^NSEI
2026-09-23T04:10:00Z,23369.75,23380.69921875,23369.75,23376.94921875,0.0,yahoo,^NSEI
2026-09-23T04:11:00Z,23376.80078125,23379.0,23375.44921875,23376.80078125,0.0,yahoo,^NSEI
2026-09-23T04:12:00Z,23376.650390625,23380.0,23376.05078125,23379.25,0.0,yahoo,^NSEI
2026-09-23T04:13:00Z,23379.44921875,23381.099609375,23377.75,23379.5,0.0,yahoo,^NSEI
2026-09-23T04:14:00Z,23379.55078125,23381.349609375,23375.0,23378.650390625,0.0,yahoo,^NSEI
2026-09-23T04:15:00Z,23378.0,23386.05078125,23378.0,23381.75,0.0,yahoo,^NSEI
2026-09-23T04:16:00Z,23381.849609375,23383.150390625,23380.55078125,23381.75,0.0,yahoo,^NSEI
2026-09-23T04:17:00Z,23382.099609375,23386.30078125,23381.5,23385.400390625,0.0,yahoo,^NSEI
2026-09-23T04:18:00Z,23386.44921875,23388.80078125,23372.44921875,23372.80078125,0.0,yahoo,^NSEI
2026-09-23T04:19:00Z,23372.849609375,23374.44921875,23358.849609375,23364.849609375,0.0,yahoo,^NSEI
2026-09-23T04:20:00Z,23364.94921875,23369.0,23363.150390625,23364.25,0.0,yahoo,^NSEI
2026-09-23T04:21:00Z,23364.099609375,23365.94921875,23359.650390625,23362.599609375,0.0,yahoo,^NSEI
2026-09-23T04:22:00Z,23362.650390625,23364.599609375,23360.05078125,23362.30078125,0.0,yahoo,^NSEI
2026-09-23T04:23:00Z,23362.0,23368.599609375,23359.5,23359.5,0.0,yahoo,^NSEI
2026-09-23T04:24:00Z,23359.650390625,23361.69921875,23349.69921875,23352.5,0.0,yahoo,^NSEI
2026-09-23T04:25:00Z,23352.599609375,23359.0,23351.849609375,23357.55078125,0.0,yahoo,^NSEI
2026-09-23T04:26:00Z,23357.55078125,23367.5,23357.55078125,23366.5,0.0,yahoo,^NSEI
2026-09-23T04:27:00Z,23366.5,23373.80078125,23366.5,23370.75,0.0,yahoo,^NSEI
2026-09-23T04:28:00Z,23370.55078125,23372.30078125,23367.25,23371.25,0.0,yahoo,^NSEI
2026-09-23T04:29:00Z,23371.349609375,23377.5,23371.150390625,23377.05078125,0.0,yahoo,^NSEI
2026-09-23T04:30:00Z,23377.05078125,23384.0,23376.599609375,23380.30078125,0.0,yahoo,^NSEI
2026-09-23T04:31:00Z,23380.30078125,23380.80078125,23376.05078125,23376.44921875,0.0,yahoo,^NSEI
2026-09-23T04:32:00Z,23376.05078125,23378.75,23370.349609375,23373.30078125,0.0,yahoo,^NSEI
2026-09-23T04:33:00Z,23373.30078125,23376.900390625,23371.650390625,23376.849609375,0.0,yahoo,^NSEI
2026-09-23T04:34:00Z,23376.75,23378.69921875,23374.94921875,23376.650390625,0.0,yahoo,^NSEI
2026-09-23T04:35:00Z,23376.650390625,23380.44921875,23376.099609375,23378.30078125,0.0,yahoo,^NSEI
2026-09-23T04:36:00Z,23377.75,23381.30078125,23377.650390625,23378.75,0.0,yahoo,^NSEI
2026-09-23T04:37:00Z,23378.5,23379.650390625,23372.55078125,23372.599609375,0.0,yahoo,^NSEI
2026-09-23T04:38:00Z,23373.0,23376.400390625,23371.150390625,23372.44921875,0.0,yahoo,^NSEI
2026-09-23T04:39:00Z,23372.44921875,23373.900390625,23366.69921875,23366.900390625,0.0,yahoo,^NSEI
2026-09-23T04:40:00Z,23366.849609375,23369.900390625,23365.25,23366.599609375,0.0,yahoo,^NSEI
2026-09-23T04:41:00Z,23366.900390625,23367.69921875,23357.44921875,23357.900390625,0.0,yahoo,^NSEI
2026-09-23T04:42:00Z,23357.900390625,23362.19921875,23355.599609375,23358.75,0.0,yahoo,^NSEI
2026-09-23T04:43:00Z,23358.849609375,23366.150390625,23358.849609375,23364.69921875,0.0,yahoo,^NSEI
2026-09-23T04:44:00Z,23364.69921875,23367.05078125,23363.150390625,23365.0,0.0,yahoo,^NSEI
2026-09-23T04:45:00Z,23364.849609375,23375.25,23364.849609375,23374.44921875,0.0,yahoo,^NSEI
